排名,电影名,评分,评论数,上映时间
138,夜行者,8.3,185572,2014-09-05
139,天才瑞普利,8.3,179937,1999-12-25
140,宿敌,8.5,55898,2022-04-28
141,跛豪,8.3,93288,1991-04-15
142,精疲力尽,8.4,82002,1960-03-16
143,少年的你,8.2,1542162,2019-10-25
144,布朗克斯的故事,8.8,27273,1993-09-09
145,天下无贼,8.2,554734,2004-12-09
146,调音师,8.2,993683,2019-04-03
147,暴裂无声,8.2,533597,2018-04-04
148,天才枪手,8.2,743224,2017-10-13
149,杀手,8.6,39094,1956-05-19
150,无间道3：终极无间,8.2,384682,2003-12-12
151,处女泉,8.5,50582,1960-02-08
152,唐人街,8.4,71303,1974-06-20
153,母亲,8.3,121711,2009-05-16
154,双重赔偿,8.5,49014,1944-07-03
155,目击者之追凶,8.2,204568,2017-03-31
156,一个字头的诞生,8.3,61146,1997-03-14
157,买凶拍人,8.2,155343,2001-08-16
158,我是谁：没有绝对安全的系统,8.2,265235,2014-09-25
159,警察故事,8.2,134167,1985-12-14
160,孤胆特工,8.2,223451,2011-09-16
161,水牛城66,8.4,58837,1998-06-26
162,迷恋荷尔蒙,8.6,34182,2003-05-31
163,热血警探,8.2,208425,2007-02-14
164,小鬼当家2,8.2,195250,1992-11-20
165,空中监狱,8.2,192062,1997-06-06
166,枪王,8.2,93127,2000-05-27
167,天国与地狱,8.8,23235,1963-03-01
168,火柴人,8.2,160319,2003-09-02
169,蒙太奇,8.2,155241,2013-05-16
170,周处除三害,8.1,1122343,2024-03-01
171,利刃出鞘,8.1,869155,2019-11-29
172,狂人皮埃罗,8.4,50452,1965-08-29
173,李米的猜想,8.1,408675,2008-09-19
174,生死时速,8.2,130964,1994-06-10
175,门徒,8.1,350331,2007-02-13
176,上海滩,8.8,12347,1983-01-20
177,修女也疯狂,8.2,126200,1992-05-29
178,大佬,8.4,48838,2000-09-09
179,华尔街之狼,8.1,498596,2013-12-17
180,法外之徒,8.5,37255,1964-07-29
181,理查德·朱维尔的哀歌,8.2,121120,2020-01-10
182,自由作家,8.6,30131,2007-01-05
183,燃烧,8.1,428944,2018-05-16
184,树大招风,8.1,214908,2016-03-21
185,杀死比尔2,8.1,351934,2004-04-08
186,喋血街头,8.2,59823,1990-08-17
187,东方快车谋杀案,8.3,64087,2010-07-11
188,阳光下的罪恶,8.3,62984,1982-02-12
189,迫在眉梢,8.3,62235,2002-02-15
190,谜一样的双眼,8.2,101152,2009-08-13
191,罗拉快跑,8.1,260017,1998-08-20
192,龙纹身的女孩,8.1,244572,2011-12-12
193,暗杀,8.1,239012,2015-09-17
194,龙争虎斗,8.3,33120,1973-07-26
195,你丫闭嘴！,8.1,219965,2003-10-22
196,香港制造,8.2,50581,1997-10-09
197,盗梦特攻队,8.3,57902,2018-08-09
