排名,电影名,评分,评论数,上映时间
737,志明与春娇,7.9,496852,2010-06-18
738,杀手没有假期,8.1,155971,2008-01-17
739,窈窕淑女,8.2,110497,1964-12-25
740,我脑中的橡皮擦,8.0,264622,2004-11-05
741,唐山大地震,7.9,466428,2010-07-22
742,柏林苍穹下,8.6,50853,1987-09-23
743,偶滴神啊,8.4,69398,2012-09-28
744,鸟人,8.0,258200,2014-08-27
745,给爸爸的信,8.1,84609,1995-02-18
746,花木兰,8.0,254033,1998-06-19
747,金色梦乡,8.3,84064,2010-01-30
748,偶然与想象,8.3,83890,2021-03-04
749,回家的路,8.5,58084,2013-12-11
750,间谍之桥,8.2,106128,2015-10-16
751,第七封印,8.5,57526,1957-02-16
752,追凶者也,7.9,358154,2016-09-14
753,天鹅绒金矿,8.4,67493,1998-11-06
754,喊·山,8.1,80118,2016-08-26
755,内布拉斯加,8.6,49403,2013-05-23
756,人生密密缝,8.5,56818,2017-02-10
757,飞行家,8.1,142984,2004-12-25
758,唐人街,8.4,66472,1974-06-20
759,大逃杀,8.0,225484,2000-12-16
760,喋血街头,8.2,56805,1990-08-17
761,一天,7.9,504316,2011-08-19
762,给桃子的信,8.3,79053,2011-09-10
763,127小时,8.1,136199,2010-11-05
764,晒后假日,8.2,99168,2022-05-21
765,十三条命,8.5,55259,2022-07-29
766,熊的故事,9.1,29310,1988-10-19
767,两小无猜,7.9,458233,2003-09-17
768,醉乡民谣,8.1,132662,2013-11-06
769,祝你好运，里奥·格兰德,8.1,131339,2022-01-22
770,夺宝奇兵3,8.3,77127,1989-05-24
771,我爱你！,7.9,239411,2023-06-21
772,秋天的故事,8.5,54529,1998-09-07
773,谜一样的双眼,8.2,96758,2009-08-13
774,壁花少年,8.0,198888,2012-09-08
775,星月童话,8.2,53478,1999-04-01
776,夏目友人帐,8.0,197055,2019-03-07
777,听到涛声,8.2,95663,1993-05-05
778,囚徒,8.1,128483,2013-08-30
779,热带鱼,8.7,23292,1995-08-01
780,附注：我爱你,8.1,127844,2007-12-20
781,放大,8.5,53922,1966-12-18
782,虞美人盛开的山坡,8.1,127094,2011-07-16
783,赌侠,7.9,217976,1990-12-13
784,我和厄尔以及将死的女孩,8.2,94099,2015-01-25
785,毕业生,8.0,189147,1967-12-22
786,局内人,8.1,124445,2015-11-19
787,激战,7.9,203403,2013-08-16
788,新少林五祖,8.0,102391,1994-02-05
789,交响情人梦 最终乐章 后篇,8.8,37193,2010-04-17
790,男人四十,8.1,67825,2002-03-14
791,金鸡,8.1,67676,2002-12-26
792,空房间,8.0,177169,2004-09-07
793,处女泉,8.6,45971,1960-02-08
794,伯德小姐,7.9,334797,2017-09-01
795,假面,8.8,36829,1966-10-18
796,孤味,8.0,97082,2020-11-06
797,因父之名,8.7,40634,1993-12-27
798,佛罗里达乐园,8.1,117632,2017-05-22
799,听见天堂,8.8,36563,2006-10-17
800,上帝之国,8.4,60175,2017-01-23
801,我的名字叫可汗,8.4,60019,2010-11-30
802,潜行者,8.8,36441,1980-05-13
803,朱莉与朱莉娅,8.1,116183,2009-08-07
804,气球,8.4,59802,2018-09-27
805,海鸥食堂,8.3,71222,2006-03-11
806,黄昏的清兵卫,8.8,36359,2002-11-02
807,愤怒的公牛,8.4,59671,1980-11-14
